annotation_id	source
635	MGUS_01_Grid3_c589
636	MGUS_01_Grid3_c592
637	MGUS_01_Grid3_c598
638	MGUS_01_Grid3_c601
639	MGUS_01_Grid3_c609
640	MGUS_01_Grid3_c624
641	MGUS_01_Grid3_c636
642	MGUS_01_Grid3_c644
643	MGUS_02_Grid1_c051
644	MGUS_02_Grid1_c054
645	MGUS_02_Grid21_c019
646	MGUS_02_Grid21_c050
647	MGUS_02_Grid21_c093
648	MGUS_02_Grid22_c030
649	MGUS_02_Grid22_c059
650	MGUS_02_Grid23_c010
651	MGUS_02_Grid24_c011
652	MGUS_02_Grid24_c021
653	MGUS_02_Grid24_c086
654	MGUS_02_Grid25_c016
655	MGUS_02_Grid25_c032
656	MGUS_02_Grid25_c035
657	MGUS_02_Grid25_c084
658	MGUS_02_Grid25_c105
659	MGUS_02_Grid25_c116
660	MGUS_02_Grid33_c002
661	MGUS_02_Grid33_c003
662	MGUS_02_Grid33_c014
663	MGUS_02_Grid33_c016
664	MGUS_02_Grid33_c021
665	MGUS_02_Grid33_c048
666	MGUS_02_Grid33_c050
667	MGUS_02_Grid33_c104
668	MGUS_02_Grid36_c012
669	MGUS_02_Grid36_c027
670	MGUS_02_Grid36_c028
671	MGUS_02_Grid36_c032
672	MGUS_02_Grid36_c035
673	MGUS_02_Grid36_c054
674	MGUS_02_Grid36_c059
675	MGUS_02_Grid36_c082
676	MGUS_02_Grid3_c001
677	MGUS_02_Grid3_c004
678	MGUS_03_Grid6_c008
679	MGUS_03_Grid6_c035
680	MGUS_03_Grid6_c069
681	MGUS_03_Grid6_c071
682	MGUS_03_Grid6_c106
683	MGUS_03_Grid6_c138
684	MGUS_03_Grid6_c144
685	MGUS_03_Grid6_c149
686	MGUS_03_Grid6_c162
687	MGUS_03_Grid6_c180
688	MGUS_03_Grid6_c232
689	MGUS_03_Grid6_c255
690	MGUS_03_Grid6_c273
691	MGUS_03_Grid6_c286
692	MGUS_03_Grid6_c309
693	MGUS_03_Grid6_c328
694	MGUS_03_Grid6_c347
695	MGUS_03_Grid6_c360
696	MGUS_03_Grid6_c363
697	MGUS_03_Grid6_c375
698	MGUS_03_Grid6_c379
699	MGUS_03_Grid6_c415
700	MGUS_03_Grid6_c441
701	MGUS_03_Grid6_c445
702	MGUS_03_Grid6_c478
703	MGUS_03_Grid6_c479
704	MGUS_03_Grid6_c538
705	MGUS_03_Grid6_c548
706	MGUS_03_Grid6_c551
707	MGUS_03_Grid6_c588
708	MGUS_03_Grid6_c610
709	MGUS_03_Grid6_c658
710	MGUS_03_Grid6_c665
711	MGUS_03_Grid6_c702
712	MGUS_03_Grid6_c727
713	MGUS_03_Grid6_c741
714	MGUS_03_Grid6_c756
715	MMRR_00_Grid3_c016
716	MMRR_00_Grid3_c021
717	MMRR_00_Grid3_c089
718	MMRR_00_Grid3_c135
719	MMRR_00_Grid3_c138
720	MMRR_00_Grid3_c151
721	MMRR_00_Grid3_c157
722	MMRR_00_Grid3_c229
723	MMRR_00_Grid3_c236
724	MMRR_00_Grid3_c311
725	MMRR_00_Grid4_c018
726	MMRR_00_Grid4_c065
727	MMRR_00_Grid4_c075
728	MMRR_00_Grid4_c111
729	MMRR_00_Grid4_c126
730	MMRR_00_Grid4_c129
731	MMRR_00_Grid4_c139
732	MMRR_00_Grid4_c144
733	MMRR_00_Grid4_c189
734	MMRR_00_Grid4_c220
735	MMRR_00_Grid4_c236
736	MMRR_01_Grid1_c039
737	MMRR_01_Grid1_c041
738	MMRR_01_Grid1_c042
739	MMRR_01_Grid1_c047
740	MMRR_01_Grid1_c055
741	MMRR_01_Grid1_c079
742	MMRR_01_Grid1_c117
743	MMRR_01_Grid1_c120
744	MMRR_01_Grid1_c170
745	MMRR_01_Grid1_c178
746	MMRR_01_Grid1_c199
747	MMRR_01_Grid1_c229
748	MMRR_01_Grid1_c236
749	MMRR_01_Grid1_c268
750	MMRR_01_Grid1_c277
751	MMRR_01_Grid1_c278
752	MMRR_01_Grid1_c301
753	MMRR_01_Grid1_c310
754	MMRR_01_Grid1_c312
755	MMRR_01_Grid1_c333
756	MMRR_01_Grid1_c348
757	MMRR_01_Grid1_c351
758	MMRR_01_Grid1_c375
759	MMRR_01_Grid1_c376
760	MMRR_01_Grid1_c379
761	MMRR_01_Grid1_c427
762	MMRR_01_Grid1_c428
763	MMRR_01_Grid1_c441
764	MMRR_01_Grid1_c505
765	MMRR_01_Grid1_c561
766	MMRR_01_Grid1_c569
767	MMRR_01_Grid1_c573
768	MMRR_01_Grid1_c632
769	MMRR_01_Grid1_c634
770	MMRR_01_Grid1_c645
771	MMRR_02_Grid1_c011
